amount,velocity,failed_attempts,is_fraud,hour,day_of_week,currency_EUR,currency_INR,currency_USD,transactionType_PAYMENT,transactionType_TRANSFER,transactionType_WITHDRAW,channel_ATM,channel_CARD,channel_MOBILE,channel_NETBANKING,status_PENDING,status_SUCCESS
79061,5,3,1,18,4,0,0,1,0,1,0,0,0,1,0,1,0
584,2,1,0,23,2,0,0,1,1,0,0,0,0,0,1,0,1
3631,0,1,0,10,2,1,0,0,0,0,1,0,0,1,0,0,1
5726,3,2,1,7,0,0,0,1,1,0,0,0,1,0,0,1,0
179291,0,0,1,7,5,0,1,0,0,0,1,1,0,0,0,1,0
12713,6,4,1,19,3,0,1,0,0,0,1,1,0,0,0,1,0
50256,2,2,1,20,6,0,1,0,1,0,0,0,0,0,1,1,0
2804,4,4,1,10,5,1,0,0,0,0,1,0,1,0,0,1,0
9146,1,3,1,11,2,1,0,0,0,1,0,0,0,1,0,1,0
84185,4,2,1,20,0,1,0,0,0,0,1,0,0,0,1,1,0
6008,4,3,1,8,6,0,1,0,0,1,0,0,0,0,1,1,0
11677,4,1,1,15,1,0,0,1,0,0,1,0,1,0,0,1,0
2365,6,1,1,16,3,0,0,1,0,1,0,0,0,0,1,1,0
19099,4,0,1,9,4,0,0,1,0,1,0,1,0,0,0,1,0
1286,1,0,0,20,3,0,0,1,0,0,1,0,1,0,0,0,1
55458,2,2,1,13,2,1,0,0,1,0,0,1,0,0,0,1,0
153187,6,4,1,16,0,1,0,0,0,0,1,0,1,0,0,1,0
132288,2,1,1,12,1,0,1,0,1,0,0,0,1,0,0,1,0
758,6,0,1,3,2,0,1,0,0,0,1,0,1,0,0,1,0
2719,6,2,1,2,2,1,0,0,1,0,0,0,1,0,0,1,0
2440,6,4,1,10,4,1,0,0,0,0,1,0,1,0,0,1,0
50718,3,1,1,20,3,1,0,0,0,0,1,0,0,1,0,1,0
13949,2,1,1,21,5,1,0,0,0,0,1,0,0,1,0,1,0
128913,4,4,1,23,4,0,0,1,0,0,1,0,0,1,0,1,0
348,4,2,1,7,3,0,0,1,0,0,1,0,0,1,0,1,0
3012,2,3,1,3,4,1,0,0,1,0,0,1,0,0,0,1,0
4170,4,3,1,16,6,0,1,0,0,0,1,1,0,0,0,1,0
18667,0,0,1,13,1,0,0,1,0,0,1,1,0,0,0,1,0
51217,0,3,1,22,5,1,0,0,0,0,1,0,0,0,1,1,0
1680,0,3,1,1,3,0,0,1,0,0,1,0,1,0,0,1,0
96239,1,0,1,4,4,0,1,0,1,0,0,0,1,0,0,1,0
13574,3,3,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
152471,6,2,1,6,2,0,1,0,0,0,1,1,0,0,0,1,0
176598,2,0,1,10,6,0,1,0,0,1,0,0,0,1,0,1,0
13529,6,3,1,8,4,0,0,1,0,1,0,0,1,0,0,1,0
3823,3,1,0,4,5,0,0,1,0,1,0,0,0,0,1,0,1
8916,6,4,1,22,3,0,1,0,1,0,0,0,0,1,0,1,0
5295,2,1,0,14,6,1,0,0,0,0,1,1,0,0,0,0,1
6857,6,4,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0
853,6,4,1,12,6,0,0,1,0,1,0,0,0,1,0,1,0
177230,4,4,1,2,1,0,0,1,1,0,0,0,1,0,0,1,0
7441,5,3,1,13,6,0,0,1,0,1,0,0,0,0,1,1,0
3920,4,0,1,19,4,0,1,0,0,0,1,0,0,1,0,1,0
7727,1,3,1,12,2,0,1,0,0,0,1,0,1,0,0,1,0
4693,3,4,1,18,5,1,0,0,1,0,0,0,1,0,0,1,0
17211,3,3,1,13,3,0,1,0,0,0,1,1,0,0,0,1,0
2861,3,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,1
50626,5,4,1,3,0,0,1,0,0,0,1,0,1,0,0,1,0
16162,6,3,1,6,3,1,0,0,0,0,1,1,0,0,0,1,0
156607,1,2,1,14,1,0,0,1,0,0,1,0,0,0,1,1,0
2768,4,0,1,14,3,0,1,0,0,1,0,0,0,1,0,1,0
2409,3,1,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1
2550,6,0,1,9,2,1,0,0,0,0,1,0,0,0,1,1,0
3905,6,2,1,22,6,0,1,0,1,0,0,0,0,0,1,1,0
113,3,1,0,21,1,1,0,0,1,0,0,1,0,0,0,0,1
11174,4,0,1,18,5,0,1,0,0,1,0,0,0,1,0,1,0
191289,2,3,1,11,2,0,1,0,1,0,0,0,0,0,1,1,0
65061,5,0,1,10,1,1,0,0,1,0,0,1,0,0,0,1,0
189843,3,1,1,18,6,0,1,0,0,0,1,0,1,0,0,1,0
100880,5,4,1,12,4,0,0,1,0,0,1,0,1,0,0,1,0
6968,3,3,1,19,6,0,0,1,0,1,0,0,1,0,0,1,0
144432,3,0,1,17,1,0,0,1,1,0,0,0,0,0,1,1,0
3332,1,3,1,7,2,0,0,1,0,1,0,0,0,1,0,1,0
2785,3,2,1,8,2,1,0,0,0,0,1,0,0,0,1,1,0
3291,0,4,1,11,1,0,1,0,0,0,1,0,1,0,0,1,0
11443,3,3,1,21,5,1,0,0,1,0,0,1,0,0,0,1,0
1948,1,3,1,15,1,0,1,0,0,0,1,0,0,0,1,1,0
5686,4,3,1,11,3,1,0,0,0,0,1,0,0,1,0,1,0
16973,5,1,1,17,5,0,0,1,1,0,0,0,0,1,0,1,0
9085,2,1,0,17,6,1,0,0,0,0,1,0,0,0,1,0,1
8481,5,4,1,13,3,0,1,0,0,0,1,0,0,0,1,1,0
182202,3,1,1,23,4,0,1,0,1,0,0,0,1,0,0,1,0
1114,5,1,1,19,4,0,1,0,1,0,0,0,0,0,1,1,0
14983,1,1,0,3,4,0,0,1,1,0,0,1,0,0,0,0,1
85108,4,0,1,18,1,0,0,1,0,1,0,0,0,1,0,1,0
176085,0,4,1,14,5,1,0,0,0,1,0,0,0,1,0,1,0
143907,3,0,1,23,4,1,0,0,0,0,1,0,1,0,0,1,0
125504,3,3,1,5,6,0,0,1,1,0,0,0,1,0,0,1,0
1095,3,1,0,6,3,0,0,1,1,0,0,0,1,0,0,0,1
5935,0,4,1,23,0,0,0,1,0,1,0,0,0,0,1,1,0
102677,1,2,1,5,4,0,0,1,0,0,1,1,0,0,0,1,0
8094,1,4,1,4,6,0,0,1,0,0,1,1,0,0,0,1,0
157,5,2,1,0,2,1,0,0,0,1,0,0,0,1,0,1,0
91740,0,3,1,18,6,0,1,0,0,1,0,0,1,0,0,1,0
196683,3,3,1,6,6,0,0,1,0,1,0,0,0,1,0,1,0
116969,1,0,1,23,3,0,1,0,1,0,0,0,0,0,1,1,0
704,3,1,0,13,3,0,0,1,1,0,0,1,0,0,0,0,1
6626,3,3,1,11,2,1,0,0,1,0,0,1,0,0,0,1,0
47,5,4,1,2,4,1,0,0,1,0,0,0,0,0,1,1,0
68875,6,1,1,12,0,1,0,0,0,0,1,0,0,1,0,1,0
15474,1,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,1
51534,6,1,1,2,0,0,0,1,1,0,0,0,0,0,1,1,0
19381,6,2,1,8,3,0,0,1,1,0,0,0,1,0,0,1,0
13951,5,2,1,22,5,1,0,0,0,0,1,0,1,0,0,1,0
1376,4,3,1,13,4,1,0,0,0,1,0,1,0,0,0,1,0
819,5,2,1,5,4,1,0,0,0,0,1,0,0,1,0,1,0
2802,3,3,1,1,2,1,0,0,0,0,1,1,0,0,0,1,0
16066,1,2,1,19,2,1,0,0,0,1,0,0,0,1,0,1,0
4003,2,2,1,8,5,0,1,0,1,0,0,0,0,1,0,1,0
156487,4,0,1,8,1,0,0,1,0,1,0,1,0,0,0,1,0
2227,5,0,1,8,3,1,0,0,0,0,1,0,0,0,1,1,0
61658,3,1,1,15,6,1,0,0,0,0,1,0,1,0,0,1,0
10699,4,2,1,22,0,0,0,1,1,0,0,0,1,0,0,1,0
19323,4,1,1,13,4,0,0,1,1,0,0,0,0,1,0,1,0
185909,0,1,1,16,0,1,0,0,0,1,0,0,0,1,0,1,0
2901,3,3,1,20,5,0,0,1,0,0,1,1,0,0,0,1,0
3731,1,1,0,10,3,0,0,1,0,1,0,0,0,0,1,0,1
18876,4,0,1,12,3,1,0,0,0,0,1,0,1,0,0,1,0
3154,3,4,1,3,5,0,1,0,0,0,1,0,1,0,0,1,0
546,3,1,0,16,1,0,1,0,1,0,0,0,1,0,0,0,1
7372,0,4,1,21,3,0,0,1,0,0,1,0,0,1,0,1,0
391,3,4,1,9,0,0,0,1,0,0,1,0,0,1,0,1,0
2834,4,1,1,18,3,0,0,1,1,0,0,0,0,0,1,1,0
8660,6,1,1,12,1,0,0,1,0,1,0,1,0,0,0,1,0
90103,1,4,1,19,0,0,1,0,0,1,0,1,0,0,0,1,0
2916,1,2,1,20,5,0,0,1,0,0,1,0,0,1,0,1,0
1033,2,1,1,5,4,0,0,1,1,0,0,1,0,0,0,1,0
67473,4,3,1,7,6,1,0,0,1,0,0,0,0,1,0,1,0
97288,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
145223,1,0,1,1,6,1,0,0,0,0,1,0,1,0,0,1,0
3528,2,3,1,20,4,1,0,0,1,0,0,0,0,0,1,1,0
2266,0,2,1,3,1,1,0,0,1,0,0,1,0,0,0,1,0
495,4,1,1,5,1,1,0,0,1,0,0,0,1,0,0,1,0
4525,2,4,1,19,0,0,0,1,0,0,1,0,1,0,0,1,0
68773,4,2,1,4,3,1,0,0,0,0,1,0,1,0,0,1,0
87987,5,0,1,19,2,0,1,0,0,1,0,0,0,1,0,1,0
16039,1,1,0,5,0,0,1,0,0,1,0,0,1,0,0,0,1
16694,4,1,1,20,5,0,1,0,0,0,1,0,0,1,0,1,0
8754,2,2,1,13,6,0,1,0,0,0,1,0,0,1,0,1,0
2512,5,3,1,11,1,1,0,0,0,1,0,0,1,0,0,1,0
17941,4,3,1,5,4,0,1,0,0,0,1,1,0,0,0,1,0
2281,5,1,1,23,3,1,0,0,1,0,0,0,0,0,1,1,0
14616,0,1,0,6,2,1,0,0,0,0,1,0,1,0,0,0,1
99405,5,4,1,2,1,0,1,0,0,1,0,0,1,0,0,1,0
17010,1,4,1,7,6,0,1,0,0,1,0,0,1,0,0,1,0
100678,5,4,1,22,0,0,1,0,1,0,0,1,0,0,0,1,0
4974,5,0,1,13,5,0,0,1,1,0,0,0,0,1,0,1,0
1675,6,1,1,7,0,0,1,0,0,0,1,0,0,1,0,1,0
121094,1,0,1,22,2,1,0,0,1,0,0,0,0,1,0,1,0
13325,6,0,1,22,6,1,0,0,0,0,1,0,1,0,0,1,0
197892,0,1,1,16,6,0,1,0,0,0,1,0,0,0,1,1,0
9315,4,0,1,4,6,1,0,0,0,0,1,0,1,0,0,1,0
1312,3,0,0,0,5,0,1,0,0,0,1,0,1,0,0,0,1
105528,5,2,1,13,4,0,1,0,0,1,0,0,0,1,0,1,0
9043,6,0,1,22,0,0,1,0,0,0,1,0,1,0,0,1,0
1773,5,4,1,11,0,0,1,0,0,0,1,0,0,1,0,1,0
13033,3,3,1,21,1,1,0,0,0,0,1,1,0,0,0,1,0
2726,5,2,1,0,5,0,1,0,0,1,0,1,0,0,0,1,0
82483,4,0,1,21,3,0,1,0,0,0,1,1,0,0,0,1,0
15339,0,0,1,5,2,1,0,0,1,0,0,0,1,0,0,1,0
2355,2,2,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0
17097,5,1,1,15,0,1,0,0,1,0,0,0,0,1,0,1,0
18124,2,2,1,8,6,0,0,1,0,0,1,1,0,0,0,1,0
118718,0,4,1,6,0,0,1,0,0,0,1,0,1,0,0,1,0
14592,4,0,1,9,2,1,0,0,1,0,0,0,1,0,0,1,0
3091,5,2,1,2,6,0,1,0,1,0,0,1,0,0,0,1,0
4735,2,3,1,0,5,1,0,0,0,1,0,0,0,1,0,1,0
6057,0,1,0,15,1,0,0,1,1,0,0,0,0,1,0,0,1
4888,2,1,1,4,3,0,0,1,0,1,0,0,0,1,0,1,0
3919,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
12018,6,2,1,19,0,0,1,0,0,1,0,0,0,0,1,1,0
10007,3,1,1,19,4,0,1,0,0,0,1,0,0,0,1,1,0
14292,4,2,1,5,3,0,0,1,1,0,0,0,1,0,0,1,0
61617,2,0,1,23,3,0,0,1,0,1,0,0,0,1,0,1,0
114944,0,2,1,22,0,0,0,1,1,0,0,1,0,0,0,1,0
18049,0,2,1,23,3,0,1,0,0,1,0,0,0,1,0,1,0
671,1,4,1,2,5,0,0,1,0,0,1,0,1,0,0,1,0
3211,0,4,1,20,6,0,0,1,0,0,1,1,0,0,0,1,0
3793,0,0,0,16,4,0,1,0,0,0,1,0,1,0,0,0,1
192773,0,0,1,21,0,0,0,1,1,0,0,1,0,0,0,1,0
18454,2,1,0,21,0,0,0,1,0,1,0,1,0,0,0,0,1
187896,0,1,1,18,5,0,1,0,0,0,1,0,0,1,0,1,0
92368,5,1,1,8,2,1,0,0,0,0,1,1,0,0,0,1,0
2341,4,0,1,17,0,1,0,0,1,0,0,0,0,0,1,1,0
6760,2,1,0,20,1,0,1,0,0,0,1,0,1,0,0,0,1
1845,4,1,1,12,0,0,0,1,0,1,0,0,0,1,0,1,0
18302,6,3,1,22,3,1,0,0,0,0,1,0,0,1,0,1,0
9818,5,4,1,15,0,0,1,0,0,0,1,1,0,0,0,1,0
9421,2,2,1,20,5,0,1,0,0,1,0,0,0,0,1,1,0
18999,1,1,0,21,2,0,0,1,1,0,0,1,0,0,0,0,1
1707,0,2,1,10,0,0,1,0,0,1,0,0,0,1,0,1,0
54681,3,2,1,1,4,0,1,0,0,1,0,0,0,1,0,1,0
12920,1,4,1,21,0,0,0,1,0,1,0,1,0,0,0,1,0
4702,0,0,0,2,5,0,1,0,0,1,0,0,0,1,0,0,1
129,0,2,1,14,2,1,0,0,0,0,1,0,0,0,1,1,0
1778,2,2,1,1,4,0,1,0,1,0,0,0,0,1,0,1,0
5259,2,1,0,19,1,0,1,0,1,0,0,0,0,0,1,0,1
1153,1,1,1,2,3,0,0,1,0,1,0,0,0,1,0,1,0
1819,5,0,1,1,4,0,0,1,1,0,0,1,0,0,0,1,0
7948,3,1,0,1,5,1,0,0,1,0,0,0,1,0,0,0,1
137562,1,0,1,20,2,0,0,1,0,0,1,1,0,0,0,1,0
9952,1,3,1,0,5,1,0,0,1,0,0,0,1,0,0,1,0
3001,2,0,0,5,2,0,1,0,1,0,0,1,0,0,0,0,1
117181,6,1,1,17,5,0,1,0,1,0,0,1,0,0,0,1,0
19345,1,2,1,11,4,1,0,0,1,0,0,0,0,1,0,1,0
2286,0,4,1,0,5,0,0,1,1,0,0,1,0,0,0,1,0
12971,6,4,1,10,4,0,1,0,1,0,0,0,0,0,1,1,0
1295,0,2,1,23,5,0,1,0,0,0,1,0,0,1,0,1,0
4723,0,4,1,11,2,1,0,0,1,0,0,1,0,0,0,1,0
16316,3,4,1,15,3,0,0,1,0,1,0,0,0,0,1,1,0
68405,3,3,1,4,0,0,1,0,0,0,1,0,0,0,1,1,0
1846,5,1,1,3,5,0,1,0,0,0,1,0,0,0,1,1,0
2683,0,2,1,11,0,0,0,1,0,0,1,0,1,0,0,1,0
15218,5,0,1,12,5,0,0,1,0,0,1,0,1,0,0,1,0
8547,2,3,1,7,4,1,0,0,1,0,0,0,1,0,0,1,0
2298,5,3,1,8,5,0,1,0,0,0,1,1,0,0,0,1,0
126815,5,2,1,7,1,0,1,0,0,1,0,0,0,0,1,1,0
877,3,4,1,23,5,0,0,1,1,0,0,0,1,0,0,1,0
181874,1,3,1,16,2,1,0,0,0,1,0,0,0,0,1,1,0
77254,2,4,1,5,2,0,1,0,0,1,0,0,0,0,1,1,0
4524,3,4,1,9,5,0,0,1,0,0,1,0,0,1,0,1,0
16063,1,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,1
14745,3,3,1,20,5,1,0,0,0,1,0,0,1,0,0,1,0
143357,1,0,1,1,4,0,1,0,1,0,0,0,0,1,0,1,0
14863,3,3,1,6,4,1,0,0,0,1,0,1,0,0,0,1,0
124145,3,3,1,14,6,0,1,0,1,0,0,0,0,0,1,1,0
240,5,4,1,4,4,0,0,1,0,1,0,0,0,0,1,1,0
15601,5,3,1,7,3,1,0,0,0,1,0,0,1,0,0,1,0
4554,5,2,1,15,0,1,0,0,0,0,1,0,1,0,0,1,0
10859,3,4,1,19,2,0,1,0,1,0,0,0,1,0,0,1,0
62367,3,1,1,8,6,1,0,0,0,0,1,0,0,0,1,1,0
72455,2,0,1,16,6,0,1,0,1,0,0,0,0,1,0,1,0
7167,1,0,0,2,5,0,0,1,0,1,0,0,0,1,0,0,1
6312,1,3,1,23,4,0,1,0,0,0,1,0,0,0,1,1,0
169205,1,1,1,20,5,0,0,1,0,0,1,0,0,0,1,1,0
4893,5,4,1,3,1,1,0,0,0,0,1,0,0,1,0,1,0
4790,2,1,1,20,3,0,1,0,0,1,0,0,0,1,0,1,0
8045,6,4,1,1,6,0,1,0,0,1,0,0,1,0,0,1,0
13168,5,0,1,5,5,0,0,1,0,1,0,0,1,0,0,1,0
3226,5,1,1,8,2,0,0,1,0,0,1,0,0,0,1,1,0
460,5,0,1,2,4,1,0,0,1,0,0,1,0,0,0,1,0
1636,0,1,0,3,5,0,1,0,0,0,1,0,0,1,0,0,1
127199,0,0,1,21,0,1,0,0,0,0,1,1,0,0,0,1,0
176357,6,0,1,15,4,0,0,1,0,0,1,0,1,0,0,1,0
81071,1,0,1,15,6,0,0,1,1,0,0,0,1,0,0,1,0
7178,1,2,1,17,4,0,0,1,0,1,0,0,0,0,1,1,0
5113,4,3,1,4,2,1,0,0,0,0,1,0,0,1,0,1,0
15359,5,4,1,22,3,0,0,1,1,0,0,0,0,1,0,1,0
14550,5,3,1,22,2,0,1,0,0,0,1,0,0,1,0,1,0
2992,5,2,1,2,4,0,1,0,0,0,1,0,1,0,0,1,0
199171,1,0,1,2,2,0,1,0,0,1,0,1,0,0,0,1,0
92683,3,2,1,2,4,0,0,1,0,0,1,0,0,1,0,1,0
19251,6,2,1,5,4,0,1,0,0,0,1,0,1,0,0,1,0
73944,4,4,1,10,6,0,0,1,0,1,0,0,0,0,1,1,0
10780,2,2,1,12,5,0,1,0,0,0,1,0,0,1,0,1,0
14987,0,2,1,5,6,0,0,1,0,0,1,0,0,1,0,1,0
170051,6,2,1,19,0,0,0,1,0,1,0,1,0,0,0,1,0
124028,5,0,1,9,5,0,1,0,0,1,0,0,0,1,0,1,0
2305,6,1,1,15,4,0,1,0,1,0,0,1,0,0,0,1,0
16194,2,2,1,13,0,0,1,0,0,0,1,1,0,0,0,1,0
2967,0,2,1,12,3,0,1,0,0,0,1,0,1,0,0,1,0
2395,4,1,1,11,2,0,0,1,0,0,1,0,1,0,0,1,0
18371,0,0,0,15,5,1,0,0,0,0,1,0,0,1,0,0,1
50113,4,4,1,21,0,1,0,0,0,0,1,1,0,0,0,1,0
4552,3,1,0,22,2,0,0,1,0,1,0,0,0,1,0,0,1
95964,1,0,1,18,4,0,1,0,0,0,1,1,0,0,0,1,0
170435,1,4,1,11,3,0,1,0,0,0,1,1,0,0,0,1,0
78879,1,0,1,9,0,1,0,0,0,1,0,0,1,0,0,1,0
16295,4,4,1,10,4,0,0,1,1,0,0,0,0,1,0,1,0
2949,2,2,1,18,4,1,0,0,0,0,1,0,1,0,0,1,0
71629,2,0,1,10,1,0,1,0,0,0,1,1,0,0,0,1,0
2549,0,3,1,20,2,1,0,0,1,0,0,0,1,0,0,1,0
101572,5,0,1,7,0,1,0,0,0,0,1,0,1,0,0,1,0
532,4,4,1,9,5,1,0,0,0,1,0,0,1,0,0,1,0
145015,3,4,1,8,2,0,0,1,0,0,1,0,1,0,0,1,0
2381,2,3,1,16,0,0,1,0,0,1,0,1,0,0,0,1,0
197763,0,2,1,4,1,0,0,1,1,0,0,0,1,0,0,1,0
6964,5,1,1,2,3,0,0,1,1,0,0,1,0,0,0,1,0
9191,5,3,1,3,4,1,0,0,1,0,0,0,0,0,1,1,0
2334,2,2,1,9,2,1,0,0,0,1,0,0,0,1,0,1,0
106041,4,1,1,9,2,0,1,0,1,0,0,0,0,1,0,1,0
79221,0,4,1,6,5,0,1,0,1,0,0,0,1,0,0,1,0
4612,3,0,0,17,6,1,0,0,0,0,1,1,0,0,0,0,1
19705,1,3,1,3,4,0,0,1,0,1,0,0,1,0,0,1,0
193466,3,1,1,20,5,1,0,0,0,1,0,1,0,0,0,1,0
6344,2,2,1,6,6,0,1,0,0,0,1,0,1,0,0,1,0
4895,5,4,1,19,6,0,0,1,1,0,0,1,0,0,0,1,0
87418,2,1,1,19,6,1,0,0,1,0,0,0,0,1,0,1,0
15390,2,2,1,6,6,0,0,1,0,1,0,1,0,0,0,1,0
17922,3,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,1
3658,2,2,1,2,6,0,1,0,1,0,0,0,1,0,0,1,0
9009,5,0,1,8,4,1,0,0,0,0,1,0,0,0,1,1,0
3705,0,4,1,2,6,0,0,1,0,0,1,0,1,0,0,1,0
18025,2,0,0,5,4,0,1,0,1,0,0,0,0,1,0,0,1
1526,2,4,1,10,1,0,1,0,0,1,0,0,0,1,0,1,0
12512,4,4,1,6,4,0,0,1,0,0,1,1,0,0,0,1,0
2835,5,3,1,23,5,0,0,1,0,0,1,1,0,0,0,1,0
78581,0,4,1,3,0,1,0,0,0,1,0,0,1,0,0,1,0
4849,0,3,1,0,4,0,0,1,1,0,0,0,0,1,0,1,0
167688,4,0,1,6,0,0,1,0,0,1,0,0,0,0,1,1,0
152667,5,1,1,11,5,0,1,0,0,0,1,0,1,0,0,1,0
174426,2,1,1,17,4,0,0,1,1,0,0,0,0,0,1,1,0
3746,4,1,1,22,4,0,1,0,0,0,1,0,0,1,0,1,0
52562,4,2,1,5,5,0,1,0,0,0,1,0,0,1,0,1,0
2742,2,2,1,17,6,0,0,1,1,0,0,0,0,0,1,1,0
6478,2,2,1,22,1,0,1,0,0,1,0,0,1,0,0,1,0
2857,1,4,1,13,0,0,0,1,1,0,0,0,0,1,0,1,0
19127,0,0,1,9,4,0,1,0,1,0,0,1,0,0,0,1,0
155100,4,2,1,13,5,1,0,0,0,0,1,0,0,0,1,1,0
12037,4,2,1,15,4,0,1,0,0,0,1,0,0,0,1,1,0
19641,4,0,1,13,0,0,0,1,1,0,0,0,1,0,0,1,0
13414,6,3,1,1,5,1,0,0,0,1,0,0,0,0,1,1,0
76937,0,4,1,18,1,1,0,0,0,0,1,0,0,0,1,1,0
2350,4,2,1,2,2,0,1,0,0,0,1,0,0,1,0,1,0
15387,0,4,1,21,0,0,0,1,1,0,0,0,0,1,0,1,0
130,5,1,1,21,1,0,1,0,0,0,1,0,1,0,0,1,0
4423,4,3,1,7,2,0,0,1,1,0,0,1,0,0,0,1,0
1051,5,1,1,14,0,1,0,0,0,0,1,0,0,1,0,1,0
3494,3,1,0,22,0,0,1,0,1,0,0,0,0,1,0,0,1
16159,0,1,0,22,3,0,0,1,0,1,0,0,1,0,0,0,1
799,6,1,1,13,4,0,1,0,0,1,0,0,0,1,0,1,0
2046,5,3,1,12,5,1,0,0,1,0,0,1,0,0,0,1,0
2680,3,1,0,4,0,0,0,1,1,0,0,0,0,1,0,0,1
133181,6,4,1,16,0,1,0,0,1,0,0,0,0,0,1,1,0
4394,4,0,1,5,5,0,1,0,0,1,0,1,0,0,0,1,0
6218,0,3,1,2,1,0,1,0,0,0,1,0,1,0,0,1,0
5616,4,0,1,3,2,1,0,0,0,0,1,0,0,0,1,1,0
4552,4,2,1,3,0,1,0,0,0,0,1,0,1,0,0,1,0
2090,0,1,0,19,6,1,0,0,0,0,1,0,1,0,0,0,1
9564,6,2,1,2,4,0,0,1,0,0,1,0,0,1,0,1,0
18213,1,1,0,15,4,0,0,1,0,1,0,0,1,0,0,0,1
3043,0,0,0,22,3,0,0,1,0,0,1,1,0,0,0,0,1
3132,2,2,1,20,4,0,0,1,0,1,0,1,0,0,0,1,0
4165,3,2,1,17,1,0,0,1,0,0,1,0,0,0,1,1,0
180075,1,1,1,15,5,0,1,0,0,1,0,0,0,1,0,1,0
7489,6,1,1,20,6,0,0,1,0,0,1,0,1,0,0,1,0
6176,2,3,1,0,6,0,0,1,0,1,0,0,1,0,0,1,0
132879,6,4,1,14,4,0,1,0,1,0,0,0,0,0,1,1,0
4761,0,2,1,5,2,0,0,1,1,0,0,0,0,0,1,1,0
1808,3,0,0,8,2,1,0,0,0,0,1,0,0,1,0,0,1
7204,1,3,1,17,0,0,1,0,0,1,0,0,1,0,0,1,0
109211,6,4,1,10,3,0,1,0,1,0,0,1,0,0,0,1,0
12365,0,3,1,13,1,1,0,0,0,0,1,0,1,0,0,1,0
295,3,0,0,7,6,1,0,0,0,0,1,0,0,1,0,0,1
15092,3,1,0,7,1,1,0,0,0,0,1,0,0,0,1,0,1
168200,4,1,1,17,5,1,0,0,0,1,0,0,0,0,1,1,0
174388,5,4,1,10,2,0,1,0,0,1,0,0,0,0,1,1,0
3851,1,1,0,15,5,1,0,0,1,0,0,0,0,0,1,0,1
70473,2,4,1,8,5,1,0,0,0,0,1,0,1,0,0,1,0
59212,4,3,1,18,0,0,1,0,1,0,0,0,0,0,1,1,0
4306,3,4,1,11,0,0,1,0,0,0,1,0,0,1,0,1,0
16231,4,4,1,12,0,0,0,1,0,1,0,0,0,1,0,1,0
2631,5,2,1,5,4,1,0,0,1,0,0,0,1,0,0,1,0
1184,3,2,1,12,0,0,1,0,0,1,0,0,0,0,1,1,0
88705,4,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
18264,0,4,1,8,2,0,1,0,0,1,0,0,1,0,0,1,0
3929,6,0,1,8,1,1,0,0,0,1,0,0,1,0,0,1,0
10926,0,4,1,18,0,0,1,0,1,0,0,0,0,1,0,1,0
